Company_name,role,year_spent,exp_year,salary_satisfiction,working_hour_satisfiction,team_collaboration,company_premises,values,management_attitude,tech_in_management,good_onboarding_process,kind_of_company,work_in_future,employee_number(approx),hiring_and_firing_rate,experienced_developer_number (2-5 years),client_types,used_tech0logy,numberof_management_people,owner_of_product,company_operation,marketing_expenditure (monthly),projected_customer_number,estimated_valuation,poduct_uniqueness_reason,services,company_operation_technique,mentor/advisor,produce_the_actual_product,any_systematic_method_followed,stage_of_business,having_minimum_viable_product,have_testing_phase,number_of_testers
in0vatech ,Front end,2,1,1,1,1,2,0.833333333,Friendly ,3,1,Both,"Cyber Security, Blockchain",2 to 9 employees,0,0 to 10 developers,Local,"Mysql, 0SQL, MongoDB, mobile application, vue js, Laravel, Flutter, Firebase",0 to 5 person,The company itself,Revenue based,0 - 10000,0,80000,Usually we do client based projects and we have some own products. Some unique features of our products make them different from others.,"SaaS, Web based products, Mobile Application ",Revenue Based,1,1,1,Growth Stage,1,1,0 to 10 
pathao,Front end ,2,2,1,1,2,1,0.833333333,2 expectation ,3,1,Service Based Company (Giving SaaS(Software as a service)),ML,500 to 999 employees,0,31 to 50 developers,Local,"Mysql, MSSQL, vue js, Laravel, Flutter",11 to 20 person,The company itself,Revenue based,>100000,1,1200000,,Pathao is the fastest growing tech0logy company in Bangladesh solving some of the country’s most challenging problems in logistics and transportation.,Revenue Based,0,1,1,Profit Stage,1,1,0 to 10 
bkash,Front end,2,2,0,1,2,2,0.833333333,2 expectation ,2,1,Service Based Company (Giving SaaS(Software as a service)),"AI, Data Science, Blockchain",1000 to 4999 employees,0,101 or more developers,Local,"Mysql, MSSQL, vue js, Laravel, Firebase",31 or more,The company itself,Revenue based,>100000,1,1500000,,bKash Limited (bKash) is a Bank-led Mobile Financial Service Provider in Bangladesh operating under the license and approval of the Central Bank (Bangladesh Bank) as a subsidiary of BRAC Bank Limited,Revenue Based,0,1,1,Profit Stage,1,1,21 to 30 
shopup,Full stack,4,2,1,0,2,2,0.833333333,Friendly ,2,1,Service Based Company (Giving SaaS(Software as a service)),"ML, Data Science",500 to 999 employees,0,31 to 50 developers,Local,"Angular JS, Mysql, MSSQL, java Spring Boot framework, mobile application, vue js, Laravel",21 to 30 person,,,,,,,"ShopUp is Bangladesh's leading full-stack B2B commerce platform for small businesses (online and offline). We provide easy access to B2B sourcing, last-mile logistics, digital credit and business management solutions to small businesses. ",Venture Capitalist funding,1,1,1,Growth Stage,1,1,0 to 10 
truck lagbe,Back end develope,1,1,1,0,2,2,0.833333333,It's moderately okay.,2,1,Service Based Company (Giving SaaS(Software as a service)),"ML, Data Science",100 to 499 employees,0,11 to 30 developers,Local,"Angular JS, .Net, Mysql, MSSQL, mobile application, Laravel, Firebase",11 to 20 person,,,,,,,Truck Lagbe is a tech0logy platform optimising how Bangladesh books truck. It connects businesses and customers to the right drivers and fleet owners for their hauling needs.,Angel Investor,1,1,1,Profit Stage,1,1,0 to 10 
zantrik,Back end develope,2,2,1,0,2,2,0.833333333,2 expectation,2,0,Service Based Company (Giving SaaS(Software as a service)),"AI, ML, Data Science",20 to 99 employees,1,11 to 30 developers,Local,"React Js, .Net, Mysql, 0SQL, MongoDB, java Spring Boot framework, vue js, Flutter",6 to 10 person,,,,,,,"911 for vehicles. One stop app for vehicle maintenance, troubleshooting and paperwork, including emergency roadside help all over Bangladesh.",Venture Capitalist funding,1,1,1,Growth Stage,1,1,11 to 20 
maya,Back end develope,3,3,1,1,1,2,0.833333333,It's great,3,1,Service Based Company (Giving SaaS(Software as a service)),Data Science,100 to 499 employees,1,11 to 30 developers,Local,"React Js, Angular JS, .Net, java Spring Boot framework, mobile application, Laravel",6 to 10 person,,,,,,,Maya is a Bangladesh based tech0logy company. Maya is a mobile-based digital wellbeing assistant that intelligently understands user questions. ,Angel Investor,1,1,1,Growth Stage,1,1,0 to 10 
alice labs,Front end,1,1,1,1,2,1,0.833333333,Cares about the employee,1,1,Both,"AI, ML",20 to 99 employees,1,11 to 30 developers,Global,"Angular JS, .Net, Django Python, Mysql, java Spring Boot framework, mobile application, vue js, Firebase",11 to 20 person,The company itself,Investor funding,11000 - 20000,0,400000,"We have built a powerful tool that uses Artificial Intelligence and conversational interface (messenger, chat apps) to deliver strong and impactful customer interaction. ","We have built a powerful tool that uses Artificial Intelligence and conversational interface (messenger, chat apps) to deliver strong and impactful customer interaction. ",Self Funding,1,1,1,Growth Stage,1,1,0 to 10 
loop freight,Front end,1,1,1,1,2,1,0.833333333,Fine and caring,2,1,Both,"ML, Data Science",20 to 99 employees,1,0 to 10 developers,Local,"Angular JS, .Net, Django Python, Mysql, 0SQL, MongoDB, vue js",11 to 20 person,Client based,Investor funding,11000 - 20000,1,300000,"
Our vision is to redesign the movement of commercial goods for next generation shippers and carriers. Tech0logy with the aid of trusted people with incredible customer service can bring ease and efficiency to the broken supply chain industry.",Loop is a tech0logy-enabled logistics company for truckload freight. Loop improves the logistics experience by increasing visibility and providing better communications by leveraging software and data points across the in-land supply chain.,Revenue Based,0,0,0,Growth Stage,on process,1,0 to 10 
admission ninja,Back end develope,5,2,1,0,2,2,0.833333333,Mixed feelings,1,1,Service Based Company (Giving SaaS(Software as a service)),ML,20 to 99 employees,2,0 to 10 developers,Local,"Angular JS, Django Python, Mysql, 0SQL, MongoDB, Flutter",11 to 20 person,,,,,,,"Admission Ninja - একটি মোবাইল এ্যাপ যা হতে যাচ্ছে আমাদের দেশের বিশ্ববিদ্যলয়ের ভর্তি পরীক্ষার সম্পূর্ণ এবং কোচিং এর বিকল্প সমাধান । এই এ্যাপ বাবহারের মাধ্যমে শিক্ষার্থীরা বাসা অথবা যেকোন জায়গা হতে প্রস্তুতি নিতে পারবে । যার ফলে তারা বেশি সময় পাবে, সেই সাথে প্রস্তুতির জন্য দুশ্চিন্তামুক্ত থাকবেন অভিভাবকরা, যেহেতু শিক্ষার্থীদের কোচিং এর জন্য বাইরে বের হতে হয়, সেজন্য যানজটের জন্যেও তাদের ভুমিকা কম নয় । এখন ঘরে বসে প্রস্তুতি নেয়ার জন্য যানজট কিছুটা হলেও কমে যাচ্ছে ।",Angel Investor,1,0,1,Growth Stage,on process,0,0 to 10 
 ants aerial systems ,Back end developer,2,2,0,1,2,2,0.833333333,The CEO is very great person and ares a lot,1,0,Both,"AI, ML, Data Science",20 to 99 employees,2,0 to 10 developers,Global,"Angular JS, .Net, 0SQL, MongoDB, java Spring Boot framework, mobile application, Flutter",6 to 10 person,The company itself,Investor funding,21000 - 30000,0,270000,We are working on developing an Unmanned Air Systems (UAS) project with two of our UA namely Freedom-71 and Bijoy-16 (B-16). We started our journey by participating in a UK based auto0mous UA designing competition in the year 2020 organized by the Institution of Mechanical,We are working on developing an Unmanned Air Systems (UAS) project with two of our UA namely Freedom-71 and Bijoy-16 (B-16). We started our journey by participating in a UK based auto0mous UA designing competition in the year 2020 organized by the Institution of Mechanical,Angel Investor,1,1,1,Idea Stage,on process,1,0 to 10 
0dding heads games,Full stack developer,2,1,0,1,2,2,0.833333333,puts very pressure on the developers,2,0,Product Based Company (Having individual or several products),ML,10 to 19 employees,0,11 to 30 developers,Global,.Net,0 to 5 person,The company itself,Self funding,0 - 10000,0,5000000,Idea,Games,Self Funding,1,1,1,Idea Stage,1,1,0 to 10 
aamarpay,Full stack developer,6,3,1,1,2,1,0.833333333,Caring about the wellbeing,2,1,Both,"AI, ML",20 to 99 employees,0,11 to 30 developers,Global,".Net, Mysql, mobile application",0 to 5 person,The company itself,Revenue based,51000 - 70000,0,120000,n/a,We are building a passwordless 1-click authentication & checkout system for online stores and websites.,Venture Capitalist funding,1,1,1,Growth Stage,0,1,0 to 10 
ants aerial system,Full stack developer,1,1,1,1,1,2,0.833333333,Friendly and realestic,3,1,Both,Data Science,1000 to 4999 employees,0,51 to 100 developers,Global,"Angular JS, Mysql, MSSQL, mobile application, Laravel, Firebase",31 or more,Client based,Revenue based,51000 - 70000,1,1200000,n/a,"Daraz is the leading online marketplace in South Asia, empowering tens of thousands of sellers to connect with millions of customers",Revenue Based,0,1,1,Profit Stage,1,1,21 to 30 
intellier ltd,Back end developer,0.4,0.4,0,1,2,1,0.666666667,Unrealistical expectation ,0,1,,,,,,,,,,,,,,,,,,,,,,,
jijoty bd,Full Stack,0.4,0.4,1,0,1,2,0.666666667,2,3,1,Service based company,undefined,20 to 22,0,2 to 3,Local,"php , HTML",0-5 person,,Revenue,"0 - 10,000",,,,,,,,,,,,
cognition.ai,Front end developer,1,2,0,1,1,2,0.666666667,2,5,1,Product based company,"AI, Data science ",20 to 99,0,2 to 3,Local,"Python , AI, ML",0 to 5 person,The company,Revenue,"0 - 10,000",0,,undefined,provides machine learning models,Revenue,0,0,undefined,idea stage,0,0,0 to 10
webase solutions,Tester,1,1,1,1,1,1,0.666666667,2,2,1,Service based company,"AI , Data science",20 to 99,0,10 to 30 person,Global,"Php, java, mobile application",31 or more,client based,Revenue,"31,000 - 40,000",,,,,,,,,,,,
urmi group,Front end developer,1,1,0,0,2,2,0.666666667,2,5,1,Service based company,"IoT, ML",20 to 99,0,10 to 30 person,Local,Php,0 to 5,The company,In house,"0  - 10,000 ",,,,,,,,,,,,
datasoft manufacturing & assembly inc. limited - dma,Back end developer,0.4,1.2,0,1,2,1,0.666666667, ,0,0,Service based company,"IoT, ML",20 to 99,1,10 to 20 person,Local,"java, mobile application, IoT",0 to 5,The company,Revenue,31000 - 40000,,,,,,,,,,,,
era infotech ltd,Full Stack,0.2,0.7,1,1,1,1,0.666666667,They are utilized properly with a vision to develop the quality of the developers,2,1,Product based company,Blockchain,100 to 499,2,51 to 100,Global,"java, mobile application , C#, AI, python",0 to 5,The company,Revenue,>100000,,,Fintech system solution providerrs,Banks and financial organizations,Revenue,1,1,1,profit stage,1,1,5 to 10
era infotech ltd.,Full Stack,1,2,0,1,2,1,0.666666667,1,,1,Product based company,Blockchain,100 to 499,1,51 to 100,Global,"java, mobile application , C#, AI, python",0 to 5,The company,revenue,>100000,,,,,,,,,,,,
orion,Full Stack,1.5,1.5,0,0,2,2,0.666666667,Helping,,0,Service based ompany,"Cloud,SaaS",20 to 50,1,10 to 20,Global,"Python, C#, mobile application",0 to 5,client based,revenue,>100000,,,,,,,,,,,,
brain station,Full Stack,1.1,1.1,1,0,2,1,0.666666667,good,15,0,Service based ompany,Data sciene,100 to 499,2,51 to 100,Global,"java, C#,mobile application , AI",5 to 10,client based,revenue,>100000,,,,,,,,,,,,
iqvia ,Back end developer,7,8,0,1,2,1,0.666666667,1,30,1,Service based ompany,"ML, Data science",499 to 1000,1,51 to 100,Global,"java, mobile application, php, web design",5 to 10,client based,revenue,0 - 10000,,,,,,,,,,,,
priyojon healthcare ltd.,Front end,1,1,1,1,1,1,0.666666667,ok,2,0,Service Based Company (Giving SaaS(Software as a service)),"AI, Data Science",20 to 99 employees,1,0 to 10 developers,Local,React Js,0 to 5 person,,,,,,,Home based health services ,Revenue Based,1,0,1,Profit Stage,1,0,41 to 50 
tekshoi,Full stack,1,1,0,1,1,2,0.666666667,It's just about right.,2,1,Service Based Company (Giving SaaS(Software as a service)),AI,10 to 19 employees,1,0 to 10 developers,"Global, Local","React Js, .Net, java Spring Boot framework, mobile application",0 to 5 person,,,,,,,"Business automation, Saas, consultancy , UI design , web development",Revenue Based,1,0,0,Growth Stage,1,1,0 to 10 
shohoz,Front end,2,2,1,0,1,2,0.666666667,Fiendly and to the point,2,1,Service Based Company (Giving SaaS(Software as a service)),"ML, Data Science",1000 to 4999 employees,0,31 to 50 developers,Local,"React Js, Angular JS, Mysql, mobile application, Flutter",21 to 30 person,The company itself,Growth based,>100000,1,120000,,"The Shohoz Super App serves as a single portal connecting local people to local businesses providing a wide range of products and services like food, tickets, rides, truck rentals and healthcare.",Revenue Based,1,1,1,Growth Stage,on process,1,11 to 20 
gaze tech0logy,Back end developer,4,3,1,0,1,2,0.666666667,Hevy expectation,3,0,Both,"AI, ML",20 to 99 employees,0,11 to 30 developers,Global,".Net, Mysql, mobile application",0 to 5 person,The company itself,Revenue based,51000 - 70000,0,120000,n/a,We are building a passwordless 1-click authentication & checkout system for online stores and websites.,Venture Capitalist funding,1,1,1,Growth Stage,0,1,0 to 10 
daraz,Back end developer,4,2,0,1,2,1,0.666666667,2 expectation ,2,0,Both,Data Science,1000 to 4999 employees,0,51 to 100 developers,Global,"Angular JS, Mysql, MSSQL, mobile application, Laravel, Firebase",31 or more,Client based,Revenue based,51000 - 70000,1,1200000,n/a,"Daraz is the leading online marketplace in South Asia, empowering tens of thousands of sellers to connect with millions of customers",Revenue Based,0,1,1,Profit Stage,1,1,21 to 30 
sheba.xyz,Front end,3,1,1,0,1,2,0.666666667,Compare to pay very 2,1,1,Service Based Company (Giving SaaS(Software as a service)),"AI, ML, Data Science",100 to 499 employees,0,31 to 50 developers,Local,"Angular JS, Django Python, java Spring Boot framework, mobile application",11 to 20 person,,,,,,,Sheba.xyz is the first and the largest service platform in Bangladesh for all urban home and office services. We help you to hire expert service providers and to get things done without any hassle.,Revenue Based,0,1,1,Growth Stage,1,1,11 to 20 
surecash,Front end,1,1,1,0,2,1,0.666666667,a lot pressure,1,1,Service Based Company (Giving SaaS(Software as a service)),"ML, Data Science",100 to 499 employees,0,11 to 30 developers,Local,"React Js, Django Python, MSSQL, 0SQL, MongoDB, mobile application, Laravel, Firebase",11 to 20 person,,,,,,,"SureCash is the fastest growing Fintech Company in Bangladesh. Starting its services in 2014, it has created an open payment network in partnership with 5 local banks, including one of the largest state banks and more than 650 payment partners. ",Revenue Based,0,1,1,Growth Stage,1,0,21 to 30 
handymama.co,SQA,1,1,0,1,1,2,0.666666667,Keeps enviornment simple and working place is good  but salary is very poor.,2,1,Service Based Company (Giving SaaS(Software as a service)),ML,20 to 99 employees,2,0 to 10 developers,Local,"Angular JS, Django Python, Mysql, java Spring Boot framework, vue js, Laravel, Firebase",0 to 5 person,,,,,,,HandyMama is the pioneering web and mobile based On-demand Maintenance Services Platform of Bangladesh,Venture Capitalist funding,0,1,1,Growth Stage,on process,1,0 to 10 
obhai solutions limited,Front end,3,2,0,1,1,2,0.666666667,0 comments,2,1,Service Based Company (Giving SaaS(Software as a service)),"AI, ML, Data Science",100 to 499 employees,1,11 to 30 developers,Local,"React Js, .Net, Mysql, mobile application, Laravel, Flutter",21 to 30 person,,,,,,,"Obhai is a ride-sharing app enabling passengers to select a Car, Microbus, Motorbike, and CNG Auto-rickshaw upon specifying the “destination”",Revenue Based,0,1,1,Profit Stage,1,1,11 to 20 
bagdoom.com,Full stack developer,5,1,1,0,2,1,0.666666667,2 expenctation without much payoff,1,1,Product Based Company (Having individual or several products),"ML, Data Science",20 to 99 employees,1,0 to 10 developers,Local,"React Js, Angular JS, .Net, Django Python, MSSQL, mobile application, Firebase",6 to 10 person,Client based,Investor funding,21000 - 30000,0,300000,"Bagdoom.com is online horizontal marketplace. It sells apparels, T-shirts, electronics, computers, smartphones, watches, sunglasses, perfume, shoes etc. It offers cash on delivery and also accepts payments through major payment services. ","Bagdoom.com has been designed with splendid experience of purchasing online with more fun and more exciting Bagdoom.com has arrived with more convenience, ease and better experience of online shopping. ",Angel Investor,0,1,1,Profit Stage,1,1,0 to 10 
